first_name|gender|origin|definition
Bora|m||
Flam|m||
Dee|m||
Pao|m|Crue|
Mufa|m|Crue|
Latty|m||
So|m|Crue|
Trua|m|Crue|
Tou|m||
Quaco|m||
Teagu|m|Crue|
May|m||
By|m||
Fugra|f||
Haso|m||
Currasa|m||
Cochair|m||
Darcaue|m||
Quarko|m||
Arge|m||
Comme|m||
Osay|m||
Barquar|m||
Carpine|m||
Soconey|m|Crue|
Flawe|m||
Gebunger|m|Crue|
Care|m||
Jeer|m|Crue|
Dar|m||
Tooar|m|Crue|
Namwick|m||
Monar|m||
Whar|m|Crue|
Tooar|m|Crue|
Whay|m|Crue|
Jeer|m||
Currier|m||
Maphy|m|Crue|
Whay|m||
Ghar|m||
Saliar|m||
Pay|m||
Dayhoo|f||
Jutar|f|Crue|
Scurrasay|f||
Marnar|f||
Comar|f||
Tofar|f||
Ba|f|Crue|
Guyfor|f||
Tanna|f||
Brogoo|f||
Guy|f||
Juar|f||
Buy|m||
Garrar|m||
Fy|m|Crue|
Guyfor|m|Crue|
Sue|m|Crue|
Qingee|m|Crue|
Bar|m|Crue|
Pay|m|Crue|
Surar|m|Crue|
Boway|m|Crue|
Day|m||
Frar|m||
Humom|m||
Woyho|m||
Podar|m||
Nausey|m||
Tooar|m||
Bleak|m||
Sam|m||
Truar|f||
So|f||
Maddie|f||
Quagmar|f||
Gibbar|f||
Guguy|f|Crue|
Gettoo|f||
Bendoo|f||
Tattio|f|Crue|
Gucour|f||
Sowar|f||
Whoyo|f||
Bassdey|m||
Guray|m||
Tendy|m||
Gotasay|m||
Yaffee|m||
Gundo|m||
Bohardy|m||
Mumboo|m||
Cannonbora|m||
Bongar|m||
Basammer|m||
Quackey|m||
Bear|m||
Sambe|m||
Tombar|m||
Garmo|m||
Sacay|m||
Jingo|m||
Tommyer|m||
Yer|m||
Sambar|m||
Yondear|m||
Zoole|m||
Foobunger|m||
Dorray|m||
Bromnia|m||
Tambar|m||
Gowar|m||
Congue|m||
Yagway|m||
Bongo|m||
Quarnice|m||
Whyne|m||
Gogo|m||
Jewler|m||
Myer|m||
Cy|m||
Combar|m||
Saysa|m||
Furrar|m||
Congo|m||
Bassammar|m||
Tombo|m||
Econner|m||
Turrar|m||
Candee|m||
Yarcoo|m||
Sundo|m||
Jarvay|m||
Parmer|m||
Martaigo|m||
Goma|m||
Tarbonde|m||
Quayay|m||
Goma|m||
Warmay|m||
Fanna|m||
Sar|m||
Dolley|m||
Quarary|m||
Warboway|m||
Quargay|m||
Quariery|m||
Barye|m||
Doony|m||
Tombar|m||
Cundoo|m||
Doomar|f||
Mambarrer|f||
Femar|f||
Tooar|f||
Marry|f||
Quanger|f||
Tombassy|f||
Quassy|f||
Yarrawquar|f||
Garno|f||
Gingada|f||
Yaingo|f||
Dungo|f||
Boy|f||
Dogway|f||
Tangway|f||
Satide|f||
Yaddy|f||
Bono|f||
Conger|f||
Condee|f||
Secar|f||
Whingar|f||
Gungar|f||
Quanar|f||
Findar|f||
Feewar|f||
Feewar|f||
Sandio|f||
Teemar|f||
Monyer|f||
Combar|f||
Quarney|f||
Jiller|f||
Narquar|f||
Marnmar|f||
Marner|f||
Boy|f||
Canna|f||
Conner|f||
Jeer|f||
Marnmon|f||
Marngeer|f||
Ferry|f||
Martor|f||
Comnio|f||
Marsoo|f||
Marfay|f||
Conna|f||
Combar|f||
Yarboy|f||
Farro|f||
Farfarbinjer|f||
Wanger|f||
Sumay|m||
Surrar|m||
Bocarry|m||
Yardoy|m||
Marmardoo|m||
Harsanna|m||
Harsanna|m||
Sarrar|m||
Gurar|m||
Humour|m||
Sumbar|m||
Beebo|m||
Suregee|m||
Barray|m||
Whygar|m||
Boguar|m||
Suretree|m||
Barrar|m||
Dolloo|m||
Jimbee|m||
Jaiguay|m||
Minney|m||
Yugway|m||
Barley|m||
Tewar|m||
Yarmoo|m||
Carquar|m||
Yararr|m||
Barrar|m||
Yeo|m||
Fumarney|m||
Sallar|m||
Malagar|m||
Marsar|m||
Gillar|m||
Marmode|m||
Jack|m||
Jim|m||
Yeo|m||
Hummodore|m||
Surry|m||
Morrerow|m||
Yallow|m||
Yarbub|m||
Farmoro|m||
Cartoolar|m||
Alleme|m||
Yallow|m||
Yallow|m||
Marsar|m||
Tarmole|m||
Sarrar|m||
Warsar|m|Crue|
Yar|m|Crue|
