first_name|gender|origin
aabidah|f|
aabirah|f|
aabish|f|
aadab|f|
aadila|f|
aaeedah|f|
aaeesha|f|
aafia|f|
aafiya|f|
aafreeda|f|
aafreen|f|
aaidah|f|
aairah|f|
aakifah|f|
aala|f|
aalaa|f|
aaleyah|f|
aalia|f|
aalimah|f|
aaliyah|f|
aamaal|f|
aamal|f|
aamanee|f|
aamilah|f|
aaminah|f|
aamira|f|
aamirah|f|
aanifatimahkhatoon|f|
aanisah|f|
aaqilah|f|
aara|f|
aarifah|f|
aasia|f|
aasimah|f|
aatifa|f|
aatikah|f|
aatiqah|f|
aatirah|f|
aazeen|f|
abal|f|
abasah|f|
abda|f|
abdia|f|
abdulbasit|f|
abeedah|f|
abeela|f|
abeer|f|
abeera|f|
abeerah|f|
abia|f|
abida|f|
abidah|f|
abir|f|
abla|f|
ablaa|f|
ablah|f|
abqurah|f|
abra|f|
abrar|f|
ada|f|
adab|f|
adara|f|
adawiyah|f|
adeeba|f|
adeela|f|
adeelah|f|
adeena|f|
adeeva|f|
adiba|f|
adifaah|f|
adila|f|
adilah|f|
adla|f|
adn|f|
afaf|f|
afeefa|f|
afeerah|f|
afia|f|
afifa|f|
afifah|f|
afiyah|f|
afizah|f|
afnan|f|
afra|f|
afraa|f|
afrah|f|
afreen|f|
afroza|f|
afroze|f|
afsa|f|
afsana|f|
afshan|f|
afsheen|f|
afya|f|
ahd|f|
ahdia|f|
ahlam|f|
aida|f|
aidah|f|
aighar|f|
aila|f|
aimal|f|
aimen|f|
ain|f|
ainalsaba|f|
aini|f|
aisha|f|
aishah|f|
aiya|f|
aiyla|f|
aiza|f|
aizah|f|
ajeebah|f|
ajlal|f|
ajradah|f|
ajwa|f|
akia|f|
akifah|f|
akilah|f|
akleema|f|
ala|f|
alaia|f|
alayna|f|
aleemah|f|
aleena|f|
aleesa|f|
aleeza|f|
alesha|f|
alhena|f|
alia|f|
aliah|f|
alika|f|
alima|f|
alimah|f|
alina|f|
alishaba|f|
alishba|f|
aliyah|f|
aliyyah|f|
aliza|f|
alleyah|f|
alma|f|
almaas|f|
almas|f|
alraaz|f|
altaf|f|
aludra|f|
alvina|f|
alya|f|
alzahra|f|
alzubra|f|
amah|f|
amal|f|
amala|f|
amalia|f|
aman|f|
amana|f|
amani|f|
amany|f|
amara|f|
amatullah|f|
amaya|f|
ambar|f|
ambareen|f|
amber|f|
ambereen|f|
ambreen|f|
ameena|f|
ameenah|f|
ameera|f|
ameerah|f|
amel|f|
amelia|f|
amena|f|
amilah|f|
amima|f|
amina|f|
aminah|f|
amineh|f|
amira|f|
amirah|f|
amjad|f|
ammara|f|
ammarah|f|
amna|f|
amra|f|
amrah|f|
amreen|f|
amsah|f|
amtullah|f|
ana|f|
anaan|f|
anah|f|
anam|f|
anan|f|
anaum|f|
anbar|f|
anbarin|f|
andaleeb|f|
andalib|f|
andlib|f|
aneeqa|f|
aneesa|f|
aneesah|f|
aneezah|f|
angbin|f|
anida|f|
anika|f|
anila|f|
anisa|f|
anisah|f|
anisha|f|
aniya|f|
anja|f|
anjum|f|
anmar|f|
annam|f|
anniyah|f|
anousha|f|
anum|f|
anwaar|f|
anwar|f|
anwara|f|
anya|f|
aqeela|f|
aqeelah|f|
aqilah|f|
aqsa|f|
ara|f|
aram|f|
areebah|f|
areej|f|
aresha|f|
arfa|f|
ariana|f|
aribah|f|
arij|f|
arisha|f|
arissa|f|
arjumand|f|
aroob|f|
aroosa|f|
aroush|f|
arsala|f|
arub|f|
arva|f|
arwa|f|
arya|f|
aryisha|f|
arzo|f|
arzoo|f|
arzu|f|
asalah|f|
asbah|f|
asfa|f|
asfia|f|
asfiya|f|
ashadieeyah|f|
ashalina|f|
ashbah|f|
asheeyana|f|
ashika|f|
ashwaq|f|
asifa|f|
asil|f|
asilah|f|
asili|f|
asima|f|
asimah|f|
asiya|f|
asiyah|f|
asli|f|
asma|f|
asmaa|f|
asmara|f|
asmat|f|
asna|f|
asra|f|
asrar|f|
asriyah|f|
ateefa|f|
ateeqah|f|
ateeyah|f|
athilah|f|
athir|f|
athmah|f|
atia|f|
atifa|f|
atifah|f|
atika|f|
atikah|f|
atiqah|f|
atiya|f|
atiyah|f|
atyaf|f|
awa|f|
awatif|f|
aya|f|
ayaana|f|
ayaat|f|
ayah|f|
ayan|f|
ayana|f|
ayat|f|
ayeh|f|
ayesha|f|
ayishah|f|
aymen|f|
