first_name|gender|origin
A'A NAYHIA|f|USA
AADHYA|f|USA
AADITRI|f|USA
AAHANA|f|USA
AALEYAH|f|USA
AALIYAH|f|USA
AAMBAL KANNAMA|f|USA
AANAYA|f|USA
AANIYAH|f|USA
AANYA|f|USA
AARADHYA|f|USA
AARIA|f|USA
AARIYA|f|USA
AARNA|f|USA
AAROHI|f|USA
AARVI|f|USA
AARYA|f|USA
AARYN|f|USA
AASHI|f|USA
AASHVI|f|USA
AAVYA|f|USA
AAYATI|f|USA
ABBY|f|USA
ABEERA|f|USA
ABHAYA|f|USA
ABIGAEL|f|USA
ABIGAIL|f|USA
ABIGAIL HEAVEN|f|USA
ABIGALE|f|USA
ABREE|f|USA
A'BRIELLA|f|USA
ABRIL|f|USA
ABY|f|USA
ABYGAIL|f|USA
ABYNA|f|USA
ACURA|f|USA
ADA|f|USA
ADAEZE|f|USA
ADAIR|f|USA
ADALEE|f|USA
ADALIA|f|USA
ADALIE|f|USA
ADALINA|f|USA
ADALINE|f|USA
ADALY|f|USA
ADALYN|f|USA
ADALYNN|f|USA
ADAMA|f|USA
ADAMARI|f|USA
ADAMARIS|f|USA
ADAMAURI|f|USA
ADAN|f|USA
ADARA|f|USA
ADDALYN|f|USA
ADDALYNN|f|USA
ADDELAIDE|f|USA
ADDELYN|f|USA
ADDIE|f|USA
ADDILYN|f|USA
ADDILYNN|f|USA
ADDISON|f|USA
ADDISONLOU|f|USA
ADDISYN|f|USA
ADDYSON|f|USA
ADELA|f|USA
ADELAIDA|f|USA
ADELAIDE|f|USA
ADELANY|f|USA
ADELAYDA|f|USA
ADELAYZA|f|USA
ADELE|f|USA
ADELEIGH|f|USA
ADELEYNA|f|USA
ADELHEID|f|USA
ADELIE|f|USA
ADELINA|f|USA
ADELINE|f|USA
ADELINE COSETTE|f|USA
ADELYN|f|USA
ADELYNE|f|USA
ADELYNN|f|USA
ADIA|f|USA
ADIELINE|f|USA
ADILEIGH|f|USA
ADILENE|f|USA
ADILYNN|f|USA
ADINA|f|USA
ADIRA|f|USA
ADITHI|f|USA
ADITI|f|USA
ADLEY|f|USA
ADRIANA|f|USA
ADRIANNA|f|USA
ADRIENE|f|USA
ADRIENNE|f|USA
ADRITI|f|USA
ADVIKA|f|USA
ADYRA|f|USA
AEDRA|f|USA
AELA|f|USA
AELICIA|f|USA
AEMILIA|f|USA
AERALYN|f|USA
AFRAH|f|USA
AFTON|f|USA
AGER|f|USA
AGNES|f|USA
AGUSTINA|f|USA
AHD|f|USA
AHILYN|f|USA
AHLAYLA|f|USA
AHNA|f|USA
AHRI|f|USA
AHSOKA|f|USA
AIDA|f|USA
AIDALYN|f|USA
AIDELY|f|USA
AIDEYAMILET|f|USA
AIDRIENNE|f|USA
AIHNOA|f|USA
AIJA|f|USA
AILANI|f|USA
AILANY|f|USA
AILEE|f|USA
AILEEN|f|USA
AILEMA|f|USA
AILIN|f|USA
AILYNN|f|USA
AIMA|f|USA
AIMEE|f|USA
AINA|f|USA
AINHOA|f|USA
AINSLEE|f|USA
AINSLEY|f|USA
AISHA|f|USA
AISHWARYA|f|USA
AISLING|f|USA
AISLINN|f|USA
AISLYN|f|USA
AISLYNN|f|USA
AITANA|f|USA
AIVAH|f|USA
AIYANA|f|USA
AIYANNA|f|USA
AIYLA|f|USA
AIZA|f|USA
A'KADRIA|f|USA
AKASHA|f|USA
AKAYDIA|f|USA
AKEMI|f|USA
AKEWON|f|USA
AKINA|f|USA
AKIRA|f|USA
AKSHARA|f|USA
ALA|f|USA
A'LABYRINTH|f|USA
ALAIA|f|USA
ALAINA|f|USA
ALANA|f|USA
ALANAH|f|USA
ALANI|f|USA
ALANNAH|f|USA
ALANNI|f|USA
ALANTIS|f|USA
ALARIAH|f|USA
ALAYA|f|USA
A'LAYAH|f|USA
ALAYNA|f|USA
ALAZAY|f|USA
ALDEN|f|USA
ALDUVINA|f|USA
ALEAH|f|USA
ALEAHNA|f|USA
ALEEN|f|USA
ALEENA|f|USA
ALEIA|f|USA
ALEIDA|f|USA
ALEINA|f|USA
