gender|first_name|origin
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|ANNA|norway
f|SOLVEIG|norway
f|RUTH|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|RUTH|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|SOLVEIG|norway
f|GERD|norway
f|SOLVEIG|norway
f|BJØRG|norway
f|BJØRG|norway
f|ASTRID*|norway
f|ASTRID*|norway
f|BJØRG|norway
f|BJØRG|norway
f|BJØRG|norway
f|INGER|norway
f|BJØRG|norway
f|BJØRG|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|MONICA*|norway
f|ANNE|norway
f|ANNE|norway
f|LINDA|norway
f|ANNE|norway
f|LINDA|norway
f|LINDA|norway
f|ANNE|norway
f|ANNE|norway
f|ANNE|norway
f|ANETTE*|norway
f|SILJE|norway
f|SILJE|norway
f|SILJE|norway
f|SILJE|norway
f|SILJE|norway
f|KRISTINE*|norway
f|CAMILLA*|norway
f|IDA|norway
f|SILJE|norway
f|IDA|norway
f|IDA|norway
f|KAROLINE*|norway
f|IDA|norway
f|IDA|norway
f|INGRID*|norway
f|IDA|norway
f|EMILIE|norway
f|IDA|norway
f|JULIE|norway
f|SARA*|norway
f|EMMA|norway
f|EMMA|norway
f|THEA*|norway
f|THEA*|norway
f|SARA*|norway
f|LINNEA*|norway
f|EMMA|norway
f|EMMA|norway
f|EMMA|norway
f|NORA*|norway
f|SARA*|norway
f|NORA*|norway
f|EMMA|norway
f|NORA*|norway
f|NORA*|norway
f|EMMA|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|JOHAN|norway
m|JOHAN|norway
m|OLE|norway
m|JOHAN|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|OLE|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|JOHAN|norway
m|OLE|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|OLAV|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
m|ARNE|norway
