first_name|gender|origin|definition
Aaliyah|f|sweden|
Abigail |f|sweden|
Ada|f|sweden|
Adela|f|sweden|
Adele|f|sweden|
Adéle|f|sweden|
Adele |f|sweden|
Adèle |f|sweden|
Adelia|f|sweden|
Adelina|f|sweden|
Adina|f|sweden|
Adna|f|sweden|
Adolfina|f|sweden|
Adriana|f|sweden|
Agda|f|sweden|
Agnes|f|sweden|
Agneta|f|sweden|
Aicha|f|sweden|
Aida|f|sweden|
Aina|f|sweden|
Aina |f|sweden|
Aino|f|sweden|
Aisha|f|sweden|
Ajla|f|sweden|
Alba|f|sweden|
Albertina|f|sweden|
Albina|f|sweden|
Alea|f|sweden|
Aleksandra|f|sweden|
Alessia |f|sweden|
Alexandra|f|sweden|
Alexia|f|sweden|
Alexis |f|sweden|
Alexsandra|f|sweden|
Aleyna |f|sweden|
Alfhild|f|sweden|
Alfrida|f|sweden|
Alia |f|sweden|
Alice|f|sweden|
Alicia|f|sweden|
Alida|f|sweden|
Alida |f|sweden|
Alina|f|sweden|
Aline|f|sweden|
Alisa |f|sweden|
Alisha |f|sweden|
Alissa |f|sweden|
Aliya |f|sweden|
Allie |f|sweden|
Allis|f|sweden|
Ally|f|sweden|
Ally |f|sweden|
Alma|f|sweden|
Alva|f|sweden|
Alwa|f|sweden|
Alvina|f|sweden|
Alyssa|f|sweden|
Amal|f|sweden|
Amalia|f|sweden|
Amanda|f|sweden|
Amber |f|sweden|
Amela|f|sweden|
Amelia|f|sweden|
Amelie|f|sweden|
Amélie |f|sweden|
Amie |f|sweden|
Amilia|f|sweden|
Amina|f|sweden|
Amira|f|sweden|
Amna|f|sweden|
Amy|f|sweden|
Ana|f|sweden|
Anastasia|f|sweden|
Anastasija|f|sweden|
Andrea|f|sweden|
Andréa|f|sweden|
Anette|f|sweden|
Angela|f|sweden|
Angelica|f|sweden|
Angelika|f|sweden|
Angelina|f|sweden|
Anisa|f|sweden|
Anita|f|sweden|
Anja|f|sweden|
Ann|f|sweden|
Anna|f|sweden|
Annabelle |f|sweden|
Anna-Carin|f|sweden|
Anna-Greta|f|sweden|
Anna-Karin|f|sweden|
Anna-Lena|f|sweden|
Anna-Lisa|f|sweden|
Anna-Maria|f|sweden|
Anna-Stina|f|sweden|
Ann-Britt|f|sweden|
Ann-Charlott|f|sweden|
Ann-Charlotte|f|sweden|
Ann-Christin|f|sweden|
Ann-Christine|f|sweden|
Anne|f|sweden|
Anne-Charlotte|f|sweden|
Anneli|f|sweden|
Annelie|f|sweden|
Anne-Marie|f|sweden|
Annette|f|sweden|
Anni|f|sweden|
Annica|f|sweden|
Annie|f|sweden|
Annika|f|sweden|
Annikki|f|sweden|
Ann-Katrin|f|sweden|
Ann-Kristin|f|sweden|
Ann-Louise|f|sweden|
Ann-Margret|f|sweden|
Ann-Mari|f|sweden|
Ann-Marie|f|sweden|
Ann-Sofi|f|sweden|
Ann-Sofie|f|sweden|
Anny|f|sweden|
Antonia|f|sweden|
Anya |f|sweden|
Aprilia |f|sweden|
Ariana |f|sweden|
Arwen |f|sweden|
Arvida|f|sweden|
Asma |f|sweden|
Asta|f|sweden|
Astrid|f|sweden|
Athena|f|sweden|
Augusta|f|sweden|
Aurora|f|sweden|
Ava|f|sweden|
Awa |f|sweden|
Avin|f|sweden|
Axelia|f|sweden|
Axelina|f|sweden|
Aya|f|sweden|
Ayla|f|sweden|
Aylin|f|sweden|
Azra |f|sweden|
Barbro|f|sweden|
Bea|f|sweden|
Beata|f|sweden|
Beatrice|f|sweden|
Beda|f|sweden|
Belinda|f|sweden|
Bella|f|sweden|
Belle |f|sweden|
Benin |f|sweden|
Berfin|f|sweden|
Berit|f|sweden|
Bernhardina|f|sweden|
Berta|f|sweden|
Betty|f|sweden|
Bianca|f|sweden|
Billie |f|sweden|
Birgit|f|sweden|
Birgitta|f|sweden|
Blanka |f|sweden|
Blenda|f|sweden|
Bodil|f|sweden|
Bodil |f|sweden|
Boel|f|sweden|
Bonnie |f|sweden|
Borghild|f|sweden|
Brita|f|sweden|
Britt|f|sweden|
Britta|f|sweden|
